"","h_country","h_rank","h_score","gdp_capita","life_exp","freedom","h_year","country"
"26","Germany",26,6.75,1.32792,0.89186,0.61477,2015,"Germany"
"27","Chile",27,6.67,1.10715,0.85857,0.44132,2015,"Chile"
"28","Qatar",28,6.611,1.69042,0.79733,0.6404,2015,"Qatar"
"29","France",29,6.575,1.27778,0.94579,0.55011,2015,"France"
"30","Argentina",30,6.574,1.05351,0.78723,0.44974,2015,"Argentina"
"31","Czech Republic",31,6.505,1.17898,0.84483,0.46364,2015,"Czech Republic"
"32","Uruguay",32,6.485,1.06166,0.8116,0.60362,2015,"Uruguay"
"33","Colombia",33,6.477,0.91861,0.69077,0.53466,2015,"Colombia"
"34","Thailand",34,6.455,0.9669,0.7385,0.55664,2015,"Thailand"
"35","Saudi Arabia",35,6.411,1.39541,0.72025,0.31048,2015,"Saudi Arabia"
"36","Spain",36,6.329,1.23011,0.95562,0.45951,2015,"Spain"
"37","Malta",37,6.302,1.2074,0.88721,0.60365,2015,"Malta"
"38","Taiwan",38,6.298,1.29098,0.8753,0.3974,2015,"Taiwan"
"39","Kuwait",39,6.295,1.55422,0.72492,0.55499,2015,"Kuwait"
"40","Suriname",40,6.269,0.99534,0.6082,0.59657,2015,"Suriname"
"41","Trinidad and Tobago",41,6.168,1.21183,0.61483,0.55884,2015,"Trinidad and Tobago"
"42","El Salvador",42,6.13,0.76454,0.67737,0.4035,2015,"El Salvador"
"43","Guatemala",43,6.123,0.74553,0.64425,0.57733,2015,"Guatemala"
"44","Uzbekistan",44,6.003,0.63244,0.59772,0.65821,2015,"Uzbekistan"
"45","Slovakia",45,5.995,1.16891,0.78902,0.31751,2015,"Slovakia"
"46","Japan",46,5.987,1.27074,0.99111,0.49615,2015,"Japan"
"47","South Korea",47,5.984,1.24461,0.96538,0.33208,2015,"South Korea"
"48","Ecuador",48,5.975,0.86402,0.79075,0.48574,2015,"Ecuador"
"49","Bahrain",49,5.96,1.32376,0.74716,0.45492,2015,"Bahrain"
"50","Italy",50,5.948,1.25114,0.95446,0.26236,2015,"Italy"
"51","Bolivia",51,5.89,0.68133,0.5392,0.57414,2015,"Bolivia"
"52","Moldova",52,5.889,0.59448,0.61826,0.32818,2015,"Moldova"
"53","Paraguay",53,5.878,0.75985,0.66098,0.53899,2015,"Paraguay"
